# Index	SPI_SensorBufMag.DATA.MAG.i16XOut	SPI_SensorBufMag.DATA.MAG.i16YOut	SPI_SensorBufMag.DATA.MAG.i16ZOut
1149	-474	3710	3190
1150	-474	3710	3190
1151	-489	3719	3231
1152	-600	3740	3271
1153	-635	3651	3315
1154	-717	3688	3342
1155	-717	3688	3342
1156	-792	3694	3416
1157	-914	3721	3462
1158	-989	3738	3498
1159	-989	3738	3498
1160	-1051	3737	3549
1161	-1134	3729	3566
1162	-1195	3700	3614
1163	-1264	3694	3586
1164	-1264	3694	3586
1165	-1349	3683	3667
1166	-1485	3660	3738
1167	-1584	3617	3732
1168	-1584	3617	3732
1169	-1726	3577	3825
1170	-1877	3536	3825
1171	-2019	3480	3860
1172	-2174	3398	3883
1173	-2174	3398	3883
1174	-2305	3324	3813
1175	-2455	3244	3781
1176	-2596	3160	3831
1177	-2596	3160	3831
1178	-2749	3055	3803
1179	-2915	3084	3800
1180	-3113	3109	3772
1181	-3264	3164	3723
1182	-3264	3164	3723
1183	-3415	3129	3684
1184	-3498	3027	3642
1185	-3607	2911	3543
1186	-3607	2911	3543
1187	-3729	2760	3455
1188	-3872	2590	3342
1189	-3935	2455	3215
1190	-3935	2455	3215
1191	-4027	2371	3148
1192	-4114	2353	3075
1193	-4175	2280	2938
1194	-4234	2207	2820
1195	-4234	2207	2820
1196	-4282	2099	2695
1197	-4309	1992	2591
1198	-4337	1930	2524
1199	-4418	1849	2363
1200	-4418	1849	2363
1201	-4454	1807	2254
1202	-4460	1736	2113
1203	-4444	1668	2021
1204	-4444	1668	2021
1205	-4445	1596	1839
1206	-4443	1551	1720
1207	-4461	1483	1638
1208	-4436	1464	1475
1209	-4436	1464	1475
1210	-4400	1401	1380
1211	-4360	1359	1303
1212	-4269	1316	1213
1213	-4269	1316	1213
1214	-4221	1250	1057
1215	-4127	1227	928
1216	-4112	1201	874
1217	-4079	1159	715
1218	-4079	1159	715
1219	-4027	1109	529
1220	-3947	1066	362
1221	-3890	1060	228
1222	-3890	1060	228
1223	-3876	1036	54
1224	-3794	1029	-150
1225	-3711	1089	-321
1226	-3675	1107	-524
1227	-3675	1107	-524
1228	-3591	1148	-743
1229	-3532	1202	-888
1230	-3414	1275	-1101
1231	-3414	1275	-1101
1232	-3338	1387	-1328
1233	-3245	1579	-1539
1234	-3168	1756	-1677
1235	-3079	1874	-1836
1236	-3079	1874	-1836
1237	-3057	2031	-1924
1238	-3013	2166	-2030
1239	-2979	2329	-2070
1240	-2979	2329	-2070
1241	-2937	2520	-2134
1242	-2883	2740	-2243
1243	-2786	2965	-2302
1244	-2721	3139	-2345
1245	-2721	3139	-2345
1246	-2641	3271	-2345
1247	-2568	3406	-2374
1248	-2469	3476	-2331
1249	-2469	3476	-2331
1250	-2400	3622	-2380
1251	-2359	3730	-2378
1252	-2351	3774	-2369
1253	-2291	3843	-2403
1254	-2291	3843	-2403
1255	-2285	3964	-2333
1256	-2282	4016	-2348
1257	-2261	4065	-2326
1258	-2261	4065	-2326
1259	-2246	4106	-2291
1260	-2205	4107	-2282
1261	-2227	4134	-2287
1262	-2227	4134	-2287
1263	-2294	4167	-2257
1264	-2341	4131	-2302
1265	-2382	4120	-2312
1266	-2484	4128	-2307
1267	-2484	4128	-2307
1268	-2540	4037	-2327
1269	-2638	3969	-2342
1270	-2714	3891	-2353
1271	-2714	3891	-2353
1272	-2779	3790	-2306
1273	-2851	3656	-2292
1274	-2926	3590	-2272
1275	-2985	3491	-2244
1276	-2985	3491	-2244
1277	-3091	3422	-2222
1278	-3225	3384	-2142
1279	-3330	3364	-2086
1280	-3330	3364	-2086
1281	-3460	3339	-2009
1282	-3620	3307	-1930
1283	-3786	3346	-1824
1284	-3891	3348	-1730
1285	-3891	3348	-1730
1286	-4018	3362	-1652
1287	-4159	3380	-1531
1288	-4246	3393	-1443
1289	-4246	3393	-1443
1290	-4417	3419	-1363
1291	-4500	3448	-1261
1292	-4592	3502	-1115
1293	-4734	3514	-1000
1294	-4734	3514	-1000
1295	-4822	3500	-886
1296	-4902	3490	-754
1297	-4984	3483	-579
1298	-4984	3483	-579
1299	-5069	3513	-425
